City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Tasiilaq,GL,2021-03-12 23:01:21,65.6145,-37.6368,15.8,86,90,2.3
243,Chipinge,ZW,2021-03-12 23:02:35,-20.1883,32.6236,62.49,94,24,7.38
244,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
245,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
246,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
247,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
248,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
249,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
250,Castro,BR,2021-03-12 22:58:28,-24.7911,-50.0119,65.43,71,6,2.62
251,Port Shepstone,ZA,2021-03-12 23:02:37,-30.7414,30.455,75.16,85,42,17.56
252,Ambilobe,MG,2021-03-12 23:02:38,-13.2,49.05,72.97,94,41,1.99
253,Hithadhoo,MV,2021-03-12 23:01:44,-0.6,73.0833,83.5,62,64,5.84
254,Ribeira Grande,PT,2021-03-12 23:01:38,38.5167,-28.7,60.06,82,100,16.46
255,Kashan,IR,2021-03-12 23:02:38,33.9831,51.4364,42.17,65,90,12.82
256,Sao Felix Do Xingu,BR,2021-03-12 23:02:39,-6.6447,-51.995,74.34,92,52,0.92
257,Nanortalik,GL,2021-03-12 23:02:02,60.1432,-45.2371,14.85,69,1,9.78
258,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
259,Annigeri,IN,2021-03-12 23:02:40,15.4333,75.4333,67.33,31,0,1.61
260,Faya,SA,2021-03-12 23:01:52,18.3851,42.4509,62.6,82,0,0.83
261,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
262,Bandarbeyla,SO,2021-03-12 23:02:41,9.4942,50.8122,76.1,74,0,7.72
263,Sept-Iles,CA,2021-03-12 23:01:25,50.2001,-66.3821,28.99,59,90,17.27
264,Boundiali,CI,2021-03-12 23:02:41,9.5217,-6.4869,83.71,28,86,2.26
265,Kilindoni,TZ,2021-03-12 23:02:42,-7.9139,39.6668,80.53,71,1,7.25
266,Hobyo,SO,2021-03-12 23:01:17,5.3505,48.5268,77.25,82,58,12.75
267,Old Bridge,US,2021-03-12 23:02:43,40.4148,-74.3654,64.4,19,1,20.71
268,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
269,Cidreira,BR,2021-03-12 22:59:38,-30.1811,-50.2056,72.12,75,13,5.39
270,Sioux Lookout,CA,2021-03-12 23:02:44,50.1001,-91.917,26.6,36,20,10.36
271,Mar Del Plata,AR,2021-03-12 23:02:23,-38.0023,-57.5575,64.99,63,0,6.91
272,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
273,Olinda,BR,2021-03-12 23:02:45,-8.0089,-34.8553,80.6,65,40,9.22
274,Dekernes,EG,2021-03-12 23:02:45,31.0876,31.595,59.0,63,40,11.5
275,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
276,Adre,TD,2021-03-12 23:02:46,13.4667,22.2,77.29,9,32,16.26
277,Clyde River,CA,2021-03-12 23:02:14,70.4692,-68.5914,-2.2,84,90,19.57
278,Mahebourg,MU,2021-03-12 23:01:04,-20.4081,57.7,78.8,73,40,6.91
279,Altay,CN,2021-03-12 23:02:47,47.8667,88.1167,32.29,51,84,4.12
280,Bambous Virieux,MU,2021-03-12 23:02:48,-20.3428,57.7575,78.8,73,40,6.91
281,Berlevag,NO,2021-03-12 23:01:13,70.8578,29.0864,19.4,86,75,17.27
282,Port Alfred,ZA,2021-03-12 23:01:41,-33.5906,26.891,74.77,84,12,17.92
283,Valparaiso,CL,2021-03-12 23:02:48,-33.0393,-71.6273,63.0,82,20,5.75
284,Ponta Do Sol,PT,2021-03-12 23:01:38,32.6667,-17.1,57.99,69,86,1.01
285,Saint-Philippe,RE,2021-03-12 23:01:53,-21.3585,55.7679,77.0,69,0,8.05
286,Klaksvik,FO,2021-03-12 23:01:56,62.2266,-6.589,39.2,87,75,11.5
287,Port Alfred,ZA,2021-03-12 23:01:41,-33.5906,26.891,74.77,84,12,17.92
288,Chakulia,IN,2021-03-12 23:02:50,22.4833,86.7167,68.29,91,38,1.99
289,Lucapa,AO,2021-03-12 23:02:50,-8.4192,20.7447,67.55,95,99,3.09
290,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
291,Elizabeth City,US,2021-03-12 23:02:51,36.2946,-76.2511,72.0,49,1,5.75
292,Port Alfred,ZA,2021-03-12 23:01:41,-33.5906,26.891,74.77,84,12,17.92
293,Hambantota,LK,2021-03-12 23:02:51,6.1241,81.1185,77.59,77,20,15.95
294,Ponta Do Sol,PT,2021-03-12 23:01:38,32.6667,-17.1,57.99,69,86,1.01
295,Upata,VE,2021-03-12 23:02:52,8.0086,-62.3989,75.0,88,13,3.0
296,Ribeira Grande,PT,2021-03-12 23:01:38,38.5167,-28.7,60.06,82,100,16.46
297,Mar Del Plata,AR,2021-03-12 23:02:23,-38.0023,-57.5575,64.99,63,0,6.91
298,Boa Vista,BR,2021-03-12 23:02:53,2.8197,-60.6733,80.6,69,75,8.05
299,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
300,Torbay,CA,2021-03-12 23:02:18,47.6666,-52.7314,42.01,100,90,35.68
301,Mana,GF,2021-03-12 23:02:54,5.6592,-53.7767,74.03,96,100,10.18
302,Maceio,BR,2021-03-12 23:02:54,-9.6658,-35.7353,77.0,88,0,3.44
303,Souillac,MU,2021-03-12 23:02:30,-20.5167,57.5167,78.8,73,40,6.91
304,Punta Arenas,CL,2021-03-12 23:01:19,-53.15,-70.9167,55.4,67,75,24.16
305,Ilulissat,GL,2021-03-12 23:02:33,69.2167,-51.1,8.6,66,44,3.53
306,Necochea,AR,2021-03-12 23:01:43,-38.5473,-58.7368,66.0,60,12,3.0
307,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
308,Longyearbyen,SJ,2021-03-12 23:01:42,78.2186,15.6401,-0.83,87,40,1.88
309,Port Alfred,ZA,2021-03-12 23:01:41,-33.5906,26.891,74.77,84,12,17.92
