City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1942,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
1943,Taltal,CL,64.04,broken clouds,-25.4,-70.4833,Residencial Karime
1944,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
1948,Cabo San Lucas,MX,53.01,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1949,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
1952,Canon City,US,32.0,snow,38.441,-105.2424,Travel Inn Motel
1955,Athens,GR,60.01,scattered clouds,37.9795,23.7162,Novotel Athenes
1956,New Norfolk,AU,59.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
1963,San Quintin,MX,52.7,clear sky,30.4833,-115.95,Old Mill Hotel
1967,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1978,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
1979,Domat,CH,37.0,scattered clouds,46.8348,9.4508,Hotel Sommerau Chur
1984,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
1987,Yoichi,JP,42.8,broken clouds,43.2039,140.7703,Marumatta Farm 21
1989,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
1990,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2000,Lagoa,PT,60.3,overcast clouds,39.05,-27.9833,Casa Das Faias
2002,Coahuayana,MX,69.76,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
2005,Hamilton,US,37.4,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
2007,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2009,Tias,ES,64.4,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
2012,Qaqortoq,GL,37.4,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
2013,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2016,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2020,San Cristobal,VE,64.44,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
2021,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2023,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2027,Ribeira Brava,PT,62.01,scattered clouds,32.65,-17.0667,Hotel do Campo
2028,Drumheller,CA,37.4,scattered clouds,51.4617,-112.7101,Ramada by Wyndham Drumheller Hotel & Suites
2030,Tuatapere,NZ,66.0,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
2032,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
2033,Hermanus,ZA,69.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
