City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1053,Black River,JM,18.0264,-77.8487,78.8,65,20,12.66,few clouds
1054,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
1055,Dahuk,IQ,36.8695,42.994,44.38,68,54,3.69,broken clouds
1056,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
1057,Hagere Selam,ET,6.4833,38.5167,48.63,65,0,6.17,clear sky
1058,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
1059,Mahebourg,MU,-20.4081,57.7,80.6,83,75,8.05,light rain
1060,Jalu,LY,29.0331,21.5482,58.8,41,52,6.78,broken clouds
1061,Bluff,NZ,-46.6,168.3333,73,46,4,14,clear sky
1062,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,57,9.22,broken clouds
1063,Ladario,BR,-19.0047,-57.6017,79.2,65,43,3.4,scattered clouds
1064,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
1065,Jizan,SA,17.3333,42.6667,82.4,61,0,3.33,clear sky
1066,Albany,US,42.6001,-73.9662,36,43,34,4.59,scattered clouds
1067,Nong Han,TH,17.3608,103.1053,75.99,73,0,2.3,clear sky
1068,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1069,Yulara,AU,-25.2406,130.9889,66.2,59,90,14.97,overcast clouds
1070,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
1071,Hilo,US,19.7297,-155.09,71.6,83,90,3.44,light rain
1072,San Antonio,US,29.4241,-98.4936,77,57,20,21.85,few clouds
1073,Moron,AR,-34.6534,-58.6198,75,59,0,3,clear sky
1074,Kodiak,US,57.79,-152.4072,35.6,20,1,13.8,clear sky
1075,Ito,JP,34.9667,139.0833,59,58,20,6.91,few clouds
1076,North Bend,US,43.4065,-124.2243,52,71,90,12.66,overcast clouds
1077,Camargo,MX,27.6667,-105.1667,74.55,3,40,19.13,scattered clouds
